campaign_id,campaign_name,start_date,end_date,channel
149,Campaign 149,2023-10-24,2023-10-25,Social Media
150,Campaign 150,2023-10-26,2023-10-27,Instagram
151,Campaign 151,2023-10-28,2023-10-29,Instagram
152,Campaign 152,2023-10-30,2023-10-31,SMS
153,Campaign 153,2023-11-01,2023-11-02,SMS
154,Campaign 154,2023-11-03,2023-11-04,Google Ads
155,Campaign 155,2023-11-05,2023-11-06,SMS
156,Campaign 156,2023-11-07,2023-11-08,Email
157,Campaign 157,2023-11-09,2023-11-10,Google Ads
158,Campaign 158,2023-11-11,2023-11-12,Instagram
159,Campaign 159,2023-11-13,2023-11-14,Facebook Ads
160,Campaign 160,2023-11-15,2023-11-16,Instagram
161,Campaign 161,2023-11-17,2023-11-18,Instagram
162,Campaign 162,2023-11-19,2023-11-20,SMS
163,Campaign 163,2023-11-21,2023-11-22,SMS
164,Campaign 164,2023-11-23,2023-11-24,Facebook Ads
165,Campaign 165,2023-11-25,2023-11-26,SMS
166,Campaign 166,2023-11-27,2023-11-28,SMS
167,Campaign 167,2023-11-29,2023-11-30,Instagram
168,Campaign 168,2023-12-01,2023-12-02,Google Ads
169,Campaign 169,2023-12-03,2023-12-04,Facebook Ads
170,Campaign 170,2023-12-05,2023-12-06,Email
171,Campaign 171,2023-12-07,2023-12-08,Instagram
172,Campaign 172,2023-12-09,2023-12-10,Email
173,Campaign 173,2023-12-11,2023-12-12,Email
174,Campaign 174,2023-12-13,2023-12-14,Facebook Ads
175,Campaign 175,2023-12-15,2023-12-16,Social Media
176,Campaign 176,2023-12-17,2023-12-18,Email
177,Campaign 177,2023-12-19,2023-12-20,SMS
178,Campaign 178,2023-12-21,2023-12-22,Email
179,Campaign 179,2023-12-23,2023-12-24,Social Media
180,Campaign 180,2023-12-25,2023-12-26,Google Ads
181,Campaign 181,2023-12-27,2023-12-28,Social Media
182,Campaign 182,2023-12-29,2023-12-30,Google Ads
183,Campaign 183,2023-12-31,2024-01-01,SMS
184,Campaign 184,2024-01-02,2024-01-03,Google Ads
185,Campaign 185,2024-01-04,2024-01-05,Social Media
186,Campaign 186,2024-01-06,2024-01-07,Email
187,Campaign 187,2024-01-08,2024-01-09,SMS
188,Campaign 188,2024-01-10,2024-01-11,Google Ads
189,Campaign 189,2024-01-12,2024-01-13,Social Media
190,Campaign 190,2024-01-14,2024-01-15,Instagram
191,Campaign 191,2024-01-16,2024-01-17,Email
192,Campaign 192,2024-01-18,2024-01-19,Google Ads
193,Campaign 193,2024-01-20,2024-01-21,Facebook Ads
194,Campaign 194,2024-01-22,2024-01-23,Email
195,Campaign 195,2024-01-24,2024-01-25,Instagram
196,Campaign 196,2024-01-26,2024-01-27,SMS
197,Campaign 197,2024-01-28,2024-01-29,SMS
198,Campaign 198,2024-01-30,2024-01-31,Instagram
199,Campaign 199,2024-02-01,2024-02-02,Social Media
200,Campaign 200,2024-02-03,2024-02-04,SMS
201,Campaign 201,2024-02-05,2024-02-06,SMS
202,Campaign 202,2024-02-07,2024-02-08,Instagram
203,Campaign 203,2024-02-09,2024-02-10,Facebook Ads
204,Campaign 204,2024-02-11,2024-02-12,Social Media
205,Campaign 205,2024-02-13,2024-02-14,Instagram
206,Campaign 206,2024-02-15,2024-02-16,SMS
207,Campaign 207,2024-02-17,2024-02-18,Google Ads
208,Campaign 208,2024-02-19,2024-02-20,SMS
209,Campaign 209,2024-02-21,2024-02-22,SMS
210,Campaign 210,2024-02-23,2024-02-24,Email
211,Campaign 211,2024-02-25,2024-02-26,Facebook Ads
212,Campaign 212,2024-02-27,2024-02-28,Facebook Ads
213,Campaign 213,2024-02-29,2024-03-01,Facebook Ads
214,Campaign 214,2024-03-02,2024-03-03,SMS
215,Campaign 215,2024-03-04,2024-03-05,Google Ads
216,Campaign 216,2024-03-06,2024-03-07,Instagram
217,Campaign 217,2024-03-08,2024-03-09,Email
218,Campaign 218,2024-03-10,2024-03-11,Email
219,Campaign 219,2024-03-12,2024-03-13,SMS
220,Campaign 220,2024-03-14,2024-03-15,Google Ads
221,Campaign 221,2024-03-16,2024-03-17,Social Media
222,Campaign 222,2024-03-18,2024-03-19,Instagram
223,Campaign 223,2024-03-20,2024-03-21,Facebook Ads
224,Campaign 224,2024-03-22,2024-03-23,Social Media
225,Campaign 225,2024-03-24,2024-03-25,SMS
226,Campaign 226,2024-03-26,2024-03-27,SMS
227,Campaign 227,2024-03-28,2024-03-29,SMS
228,Campaign 228,2024-03-30,2024-03-31,SMS
229,Campaign 229,2024-04-01,2024-04-02,Google Ads
230,Campaign 230,2024-04-03,2024-04-04,Instagram
231,Campaign 231,2024-04-05,2024-04-06,Instagram
232,Campaign 232,2024-04-07,2024-04-08,SMS
233,Campaign 233,2024-04-09,2024-04-10,Instagram
234,Campaign 234,2024-04-11,2024-04-12,Social Media
235,Campaign 235,2024-04-13,2024-04-14,SMS
236,Campaign 236,2024-04-15,2024-04-16,Social Media
237,Campaign 237,2024-04-17,2024-04-18,Google Ads
238,Campaign 238,2024-04-19,2024-04-20,Facebook Ads
239,Campaign 239,2024-04-21,2024-04-22,Social Media
240,Campaign 240,2024-04-23,2024-04-24,SMS
241,Campaign 241,2024-04-25,2024-04-26,Email
242,Campaign 242,2024-04-27,2024-04-28,Social Media
243,Campaign 243,2024-04-29,2024-04-30,Social Media
244,Campaign 244,2024-05-01,2024-05-02,SMS
245,Campaign 245,2024-05-03,2024-05-04,Instagram
246,Campaign 246,2024-05-05,2024-05-06,Email
247,Campaign 247,2024-05-07,2024-05-08,Facebook Ads
248,Campaign 248,2024-05-09,2024-05-10,Email
249,Campaign 249,2024-05-11,2024-05-12,Facebook Ads
250,Campaign 250,2024-05-13,2024-05-14,Google Ads
251,Campaign 251,2024-05-15,2024-05-16,Instagram
252,Campaign 252,2024-05-17,2024-05-18,Google Ads
253,Campaign 253,2024-05-19,2024-05-20,Social Media
254,Campaign 254,2024-05-21,2024-05-22,Social Media
255,Campaign 255,2024-05-23,2024-05-24,Instagram
256,Campaign 256,2024-05-25,2024-05-26,Google Ads
257,Campaign 257,2024-05-27,2024-05-28,Email
258,Campaign 258,2024-05-29,2024-05-30,Google Ads
259,Campaign 259,2024-05-31,2024-06-01,Facebook Ads
260,Campaign 260,2024-06-02,2024-06-03,SMS
261,Campaign 261,2024-06-04,2024-06-05,Social Media
262,Campaign 262,2024-06-06,2024-06-07,Email
263,Campaign 263,2024-06-08,2024-06-09,Social Media
264,Campaign 264,2024-06-10,2024-06-11,Google Ads
265,Campaign 265,2024-06-12,2024-06-13,Instagram
266,Campaign 266,2024-06-14,2024-06-15,Email
267,Campaign 267,2024-06-16,2024-06-17,SMS
268,Campaign 268,2024-06-18,2024-06-19,Instagram
269,Campaign 269,2024-06-20,2024-06-21,SMS
270,Campaign 270,2024-06-22,2024-06-23,Google Ads
271,Campaign 271,2024-06-24,2024-06-25,Facebook Ads
272,Campaign 272,2024-06-26,2024-06-27,Instagram
273,Campaign 273,2024-06-28,2024-06-29,Instagram
274,Campaign 274,2024-06-30,2024-07-01,Google Ads
275,Campaign 275,2024-07-02,2024-07-03,Email
276,Campaign 276,2024-07-04,2024-07-05,SMS
277,Campaign 277,2024-07-06,2024-07-07,Google Ads
278,Campaign 278,2024-07-08,2024-07-09,Instagram
279,Campaign 279,2024-07-10,2024-07-11,Social Media
280,Campaign 280,2024-07-12,2024-07-13,Social Media
281,Campaign 281,2024-07-14,2024-07-15,Instagram
282,Campaign 282,2024-07-16,2024-07-17,Email
283,Campaign 283,2024-07-18,2024-07-19,Instagram
284,Campaign 284,2024-07-20,2024-07-21,Social Media
285,Campaign 285,2024-07-22,2024-07-23,Facebook Ads
286,Campaign 286,2024-07-24,2024-07-25,Instagram
287,Campaign 287,2024-07-26,2024-07-27,Instagram
288,Campaign 288,2024-07-28,2024-07-29,Facebook Ads
289,Campaign 289,2024-07-30,2024-07-31,Email
290,Campaign 290,2024-08-01,2024-08-02,Google Ads
291,Campaign 291,2024-08-03,2024-08-04,Social Media
292,Campaign 292,2024-08-05,2024-08-06,Social Media
293,Campaign 293,2024-08-07,2024-08-08,SMS
294,Campaign 294,2024-08-09,2024-08-10,Google Ads
295,Campaign 295,2024-08-11,2024-08-12,Google Ads
296,Campaign 296,2024-08-13,2024-08-14,Google Ads
297,Campaign 297,2024-08-15,2024-08-16,Google Ads
298,Campaign 298,2024-08-17,2024-08-18,Social Media
299,Campaign 299,2024-08-19,2024-08-20,Instagram
300,Campaign 300,2024-08-21,2024-08-22,Instagram
301,Campaign 301,2024-08-23,2024-08-24,Facebook Ads
302,Campaign 302,2024-08-25,2024-08-26,Instagram
303,Campaign 303,2024-08-27,2024-08-28,SMS
304,Campaign 304,2024-08-29,2024-08-30,Email
305,Campaign 305,2024-08-31,2024-09-01,Email
306,Campaign 306,2024-09-02,2024-09-03,SMS
307,Campaign 307,2024-09-04,2024-09-05,Google Ads
308,Campaign 308,2024-09-06,2024-09-07,Facebook Ads
309,Campaign 309,2024-09-08,2024-09-09,Social Media
310,Campaign 310,2024-09-10,2024-09-11,SMS
311,Campaign 311,2024-09-12,2024-09-13,Instagram
312,Campaign 312,2024-09-14,2024-09-15,Instagram
313,Campaign 313,2024-09-16,2024-09-17,Social Media
314,Campaign 314,2024-09-18,2024-09-19,Email
315,Campaign 315,2024-09-20,2024-09-21,SMS
316,Campaign 316,2024-09-22,2024-09-23,Google Ads
317,Campaign 317,2024-09-24,2024-09-25,Facebook Ads
318,Campaign 318,2024-09-26,2024-09-27,Email
319,Campaign 319,2024-09-28,2024-09-29,Facebook Ads
320,Campaign 320,2024-09-30,2024-10-01,Google Ads
321,Campaign 321,2024-10-02,2024-10-03,Instagram
322,Campaign 322,2024-10-04,2024-10-05,SMS
323,Campaign 323,2024-10-06,2024-10-07,Google Ads
324,Campaign 324,2024-10-08,2024-10-09,Email
325,Campaign 325,2024-10-10,2024-10-11,Instagram
326,Campaign 326,2024-10-12,2024-10-13,Google Ads
327,Campaign 327,2024-10-14,2024-10-15,Instagram
328,Campaign 328,2024-10-16,2024-10-17,Instagram
329,Campaign 329,2024-10-18,2024-10-19,Facebook Ads
330,Campaign 330,2024-10-20,2024-10-21,Facebook Ads
331,Campaign 331,2024-10-22,2024-10-23,Email
332,Campaign 332,2024-10-24,2024-10-25,Google Ads
333,Campaign 333,2024-10-26,2024-10-27,SMS
334,Campaign 334,2024-10-28,2024-10-29,Social Media
335,Campaign 335,2024-10-30,2024-10-31,Google Ads
336,Campaign 336,2024-11-01,2024-11-02,Instagram
337,Campaign 337,2024-11-03,2024-11-04,Email
338,Campaign 338,2024-11-05,2024-11-06,Email
339,Campaign 339,2024-11-07,2024-11-08,Social Media
340,Campaign 340,2024-11-09,2024-11-10,Instagram
341,Campaign 341,2024-11-11,2024-11-12,Instagram
342,Campaign 342,2024-11-13,2024-11-14,Email
343,Campaign 343,2024-11-15,2024-11-16,SMS
344,Campaign 344,2024-11-17,2024-11-18,Email
345,Campaign 345,2024-11-19,2024-11-20,Social Media
346,Campaign 346,2024-11-21,2024-11-22,SMS
347,Campaign 347,2024-11-23,2024-11-24,SMS
348,Campaign 348,2024-11-25,2024-11-26,Social Media
349,Campaign 349,2024-11-27,2024-11-28,SMS
350,Campaign 350,2024-11-29,2024-11-30,Facebook Ads
351,Campaign 351,2024-12-01,2024-12-02,Email
352,Campaign 352,2024-12-03,2024-12-04,Social Media
353,Campaign 353,2024-12-05,2024-12-06,Instagram
354,Campaign 354,2024-12-07,2024-12-08,SMS
355,Campaign 355,2024-12-09,2024-12-10,SMS
356,Campaign 356,2024-12-11,2024-12-12,Facebook Ads
357,Campaign 357,2024-12-13,2024-12-14,SMS
358,Campaign 358,2024-12-15,2024-12-16,Email
359,Campaign 359,2024-12-17,2024-12-18,SMS
360,Campaign 360,2024-12-19,2024-12-20,SMS
361,Campaign 361,2024-12-21,2024-12-22,Social Media
362,Campaign 362,2024-12-23,2024-12-24,Email
363,Campaign 363,2024-12-25,2024-12-26,Facebook Ads
364,Campaign 364,2024-12-27,2024-12-28,SMS
365,Campaign 365,2024-12-29,2024-12-30,Google Ads
366,Campaign 366,2024-12-31,2025-01-01,Email
367,Campaign 367,2025-01-02,2025-01-03,Email
368,Campaign 368,2025-01-04,2025-01-05,Email
369,Campaign 369,2025-01-06,2025-01-07,Email
370,Campaign 370,2025-01-08,2025-01-09,Social Media
371,Campaign 371,2025-01-10,2025-01-11,Google Ads
372,Campaign 372,2025-01-12,2025-01-13,Instagram
373,Campaign 373,2025-01-14,2025-01-15,Email
374,Campaign 374,2025-01-16,2025-01-17,Instagram
375,Campaign 375,2025-01-18,2025-01-19,Social Media
376,Campaign 376,2025-01-20,2025-01-21,Google Ads
377,Campaign 377,2025-01-22,2025-01-23,Facebook Ads
378,Campaign 378,2025-01-24,2025-01-25,Facebook Ads
379,Campaign 379,2025-01-26,2025-01-27,Facebook Ads
380,Campaign 380,2025-01-28,2025-01-29,SMS
381,Campaign 381,2025-01-30,2025-01-31,Facebook Ads
382,Campaign 382,2025-02-01,2025-02-02,Facebook Ads
383,Campaign 383,2025-02-03,2025-02-04,Google Ads
384,Campaign 384,2025-02-05,2025-02-06,Email
385,Campaign 385,2025-02-07,2025-02-08,Facebook Ads
386,Campaign 386,2025-02-09,2025-02-10,SMS
387,Campaign 387,2025-02-11,2025-02-12,Email
388,Campaign 388,2025-02-13,2025-02-14,Instagram
389,Campaign 389,2025-02-15,2025-02-16,Email
390,Campaign 390,2025-02-17,2025-02-18,SMS
391,Campaign 391,2025-02-19,2025-02-20,SMS
392,Campaign 392,2025-02-21,2025-02-22,Instagram
393,Campaign 393,2025-02-23,2025-02-24,Email
394,Campaign 394,2025-02-25,2025-02-26,SMS
395,Campaign 395,2025-02-27,2025-02-28,Instagram
396,Campaign 396,2025-03-01,2025-03-02,Email
397,Campaign 397,2025-03-03,2025-03-04,SMS
398,Campaign 398,2025-03-05,2025-03-06,Email
399,Campaign 399,2025-03-07,2025-03-08,Google Ads
400,Campaign 400,2025-03-09,2025-03-10,Instagram
401,Campaign 401,2025-03-11,2025-03-12,Email
402,Campaign 402,2025-03-13,2025-03-14,Google Ads
403,Campaign 403,2025-03-15,2025-03-16,SMS
404,Campaign 404,2025-03-17,2025-03-18,Google Ads
405,Campaign 405,2025-03-19,2025-03-20,Instagram
406,Campaign 406,2025-03-21,2025-03-22,Email
407,Campaign 407,2025-03-23,2025-03-24,Google Ads
408,Campaign 408,2025-03-25,2025-03-26,Facebook Ads
409,Campaign 409,2025-03-27,2025-03-28,Facebook Ads
410,Campaign 410,2025-03-29,2025-03-30,Facebook Ads
411,Campaign 411,2025-03-31,2025-04-01,SMS
412,Campaign 412,2025-04-02,2025-04-03,Email
413,Campaign 413,2025-04-04,2025-04-05,Facebook Ads
414,Campaign 414,2025-04-06,2025-04-07,Social Media
415,Campaign 415,2025-04-08,2025-04-09,Instagram
416,Campaign 416,2025-04-10,2025-04-11,Social Media
417,Campaign 417,2025-04-12,2025-04-13,Social Media
418,Campaign 418,2025-04-14,2025-04-15,SMS
419,Campaign 419,2025-04-16,2025-04-17,Facebook Ads
420,Campaign 420,2025-04-18,2025-04-19,Instagram
421,Campaign 421,2025-04-20,2025-04-21,Google Ads
422,Campaign 422,2025-04-22,2025-04-23,SMS
423,Campaign 423,2025-04-24,2025-04-25,Social Media
424,Campaign 424,2025-04-26,2025-04-27,Google Ads
425,Campaign 425,2025-04-28,2025-04-29,SMS
426,Campaign 426,2025-04-30,2025-05-01,SMS
427,Campaign 427,2025-05-02,2025-05-03,SMS
428,Campaign 428,2025-05-04,2025-05-05,Google Ads
429,Campaign 429,2025-05-06,2025-05-07,Email
430,Campaign 430,2025-05-08,2025-05-09,Instagram
431,Campaign 431,2025-05-10,2025-05-11,Instagram
432,Campaign 432,2025-05-12,2025-05-13,Social Media
433,Campaign 433,2025-05-14,2025-05-15,Email
434,Campaign 434,2025-05-16,2025-05-17,Email
435,Campaign 435,2025-05-18,2025-05-19,Email
436,Campaign 436,2025-05-20,2025-05-21,Instagram
437,Campaign 437,2025-05-22,2025-05-23,Instagram
438,Campaign 438,2025-05-24,2025-05-25,Facebook Ads
439,Campaign 439,2025-05-26,2025-05-27,Instagram
440,Campaign 440,2025-05-28,2025-05-29,Instagram
441,Campaign 441,2025-05-30,2025-05-31,Email
442,Campaign 442,2025-06-01,2025-06-02,Google Ads
443,Campaign 443,2025-06-03,2025-06-04,Social Media
444,Campaign 444,2025-06-05,2025-06-06,SMS
445,Campaign 445,2025-06-07,2025-06-08,SMS
446,Campaign 446,2025-06-09,2025-06-10,SMS
447,Campaign 447,2025-06-11,2025-06-12,Google Ads
448,Campaign 448,2025-06-13,2025-06-14,Social Media
449,Campaign 449,2025-06-15,2025-06-16,Facebook Ads
450,Campaign 450,2025-06-17,2025-06-18,SMS
451,Campaign 451,2025-06-19,2025-06-20,Instagram
452,Campaign 452,2025-06-21,2025-06-22,Social Media
453,Campaign 453,2025-06-23,2025-06-24,Social Media
454,Campaign 454,2025-06-25,2025-06-26,Social Media
455,Campaign 455,2025-06-27,2025-06-28,Social Media
456,Campaign 456,2025-06-29,2025-06-30,Instagram
457,Campaign 457,2025-07-01,2025-07-02,Google Ads
458,Campaign 458,2025-07-03,2025-07-04,Social Media
459,Campaign 459,2025-07-05,2025-07-06,Email
460,Campaign 460,2025-07-07,2025-07-08,Social Media
461,Campaign 461,2025-07-09,2025-07-10,SMS
462,Campaign 462,2025-07-11,2025-07-12,Instagram
463,Campaign 463,2025-07-13,2025-07-14,Email
464,Campaign 464,2025-07-15,2025-07-16,Instagram
465,Campaign 465,2025-07-17,2025-07-18,Facebook Ads
466,Campaign 466,2025-07-19,2025-07-20,SMS
467,Campaign 467,2025-07-21,2025-07-22,Instagram
468,Campaign 468,2025-07-23,2025-07-24,Email
469,Campaign 469,2025-07-25,2025-07-26,Google Ads
470,Campaign 470,2025-07-27,2025-07-28,SMS
471,Campaign 471,2025-07-29,2025-07-30,Email
472,Campaign 472,2025-07-31,2025-08-01,Google Ads
473,Campaign 473,2025-08-02,2025-08-03,Email
474,Campaign 474,2025-08-04,2025-08-05,Social Media
475,Campaign 475,2025-08-06,2025-08-07,SMS
476,Campaign 476,2025-08-08,2025-08-09,Instagram
477,Campaign 477,2025-08-10,2025-08-11,Facebook Ads
478,Campaign 478,2025-08-12,2025-08-13,Google Ads
479,Campaign 479,2025-08-14,2025-08-15,Google Ads
480,Campaign 480,2025-08-16,2025-08-17,Social Media
481,Campaign 481,2025-08-18,2025-08-19,SMS
482,Campaign 482,2025-08-20,2025-08-21,SMS
483,Campaign 483,2025-08-22,2025-08-23,Social Media
484,Campaign 484,2025-08-24,2025-08-25,Email
485,Campaign 485,2025-08-26,2025-08-27,Google Ads
486,Campaign 486,2025-08-28,2025-08-29,Instagram
487,Campaign 487,2025-08-30,2025-08-31,Email
488,Campaign 488,2025-09-01,2025-09-02,Social Media
489,Campaign 489,2025-09-03,2025-09-04,Google Ads
490,Campaign 490,2025-09-05,2025-09-06,Facebook Ads
491,Campaign 491,2025-09-07,2025-09-08,Facebook Ads
492,Campaign 492,2025-09-09,2025-09-10,Google Ads
493,Campaign 493,2025-09-11,2025-09-12,Instagram
494,Campaign 494,2025-09-13,2025-09-14,SMS
495,Campaign 495,2025-09-15,2025-09-16,Google Ads
496,Campaign 496,2025-09-17,2025-09-18,SMS
497,Campaign 497,2025-09-19,2025-09-20,Instagram
