campaign_key,campaign_id,campaign_name,start_date,end_date,channel
5048,48,Campaign 48,2023-04-05,2023-04-06,Google Ads
5049,49,Campaign 49,2023-04-07,2023-04-08,SMS
5050,50,Campaign 50,2023-04-09,2023-04-10,Google Ads
5051,51,Campaign 51,2023-04-11,2023-04-12,Instagram
5052,52,Campaign 52,2023-04-13,2023-04-14,Instagram
5053,53,Campaign 53,2023-04-15,2023-04-16,Google Ads
5054,54,Campaign 54,2023-04-17,2023-04-18,SMS
5055,55,Campaign 55,2023-04-19,2023-04-20,Email
5056,56,Campaign 56,2023-04-21,2023-04-22,Email
5057,57,Campaign 57,2023-04-23,2023-04-24,Social Media
5058,58,Campaign 58,2023-04-25,2023-04-26,Facebook Ads
5059,59,Campaign 59,2023-04-27,2023-04-28,Social Media
5060,60,Campaign 60,2023-04-29,2023-04-30,SMS
5061,61,Campaign 61,2023-05-01,2023-05-02,SMS
5062,62,Campaign 62,2023-05-03,2023-05-04,SMS
5063,63,Campaign 63,2023-05-05,2023-05-06,Facebook Ads
5064,64,Campaign 64,2023-05-07,2023-05-08,Email
5065,65,Campaign 65,2023-05-09,2023-05-10,Google Ads
5066,66,Campaign 66,2023-05-11,2023-05-12,Instagram
5067,67,Campaign 67,2023-05-13,2023-05-14,Social Media
5068,68,Campaign 68,2023-05-15,2023-05-16,Social Media
5069,69,Campaign 69,2023-05-17,2023-05-18,Email
5070,70,Campaign 70,2023-05-19,2023-05-20,Facebook Ads
5071,71,Campaign 71,2023-05-21,2023-05-22,Social Media
5072,72,Campaign 72,2023-05-23,2023-05-24,Facebook Ads
5073,73,Campaign 73,2023-05-25,2023-05-26,Social Media
5074,74,Campaign 74,2023-05-27,2023-05-28,SMS
5075,75,Campaign 75,2023-05-29,2023-05-30,Google Ads
5076,76,Campaign 76,2023-05-31,2023-06-01,Email
5077,77,Campaign 77,2023-06-02,2023-06-03,Facebook Ads
5078,78,Campaign 78,2023-06-04,2023-06-05,Email
5079,79,Campaign 79,2023-06-06,2023-06-07,SMS
5080,80,Campaign 80,2023-06-08,2023-06-09,SMS
5081,81,Campaign 81,2023-06-10,2023-06-11,Instagram
5082,82,Campaign 82,2023-06-12,2023-06-13,Email
5083,83,Campaign 83,2023-06-14,2023-06-15,Facebook Ads
5084,84,Campaign 84,2023-06-16,2023-06-17,Facebook Ads
5085,85,Campaign 85,2023-06-18,2023-06-19,SMS
5086,86,Campaign 86,2023-06-20,2023-06-21,Instagram
5087,87,Campaign 87,2023-06-22,2023-06-23,Instagram
5088,88,Campaign 88,2023-06-24,2023-06-25,Social Media
5089,89,Campaign 89,2023-06-26,2023-06-27,Facebook Ads
5090,90,Campaign 90,2023-06-28,2023-06-29,Email
5091,91,Campaign 91,2023-06-30,2023-07-01,Instagram
5092,92,Campaign 92,2023-07-02,2023-07-03,SMS
5093,93,Campaign 93,2023-07-04,2023-07-05,Email
5094,94,Campaign 94,2023-07-06,2023-07-07,Instagram
5095,95,Campaign 95,2023-07-08,2023-07-09,Facebook Ads
5096,96,Campaign 96,2023-07-10,2023-07-11,Instagram
5097,97,Campaign 97,2023-07-12,2023-07-13,Facebook Ads
5098,98,Campaign 98,2023-07-14,2023-07-15,Instagram
5099,99,Campaign 99,2023-07-16,2023-07-17,Social Media
5100,100,Campaign 100,2023-07-18,2023-07-19,SMS
5101,101,Campaign 101,2023-07-20,2023-07-21,Instagram
5102,102,Campaign 102,2023-07-22,2023-07-23,Social Media
5103,103,Campaign 103,2023-07-24,2023-07-25,SMS
5104,104,Campaign 104,2023-07-26,2023-07-27,Social Media
5105,105,Campaign 105,2023-07-28,2023-07-29,Email
5106,106,Campaign 106,2023-07-30,2023-07-31,Facebook Ads
5107,107,Campaign 107,2023-08-01,2023-08-02,SMS
5108,108,Campaign 108,2023-08-03,2023-08-04,Instagram
5109,109,Campaign 109,2023-08-05,2023-08-06,Instagram
5110,110,Campaign 110,2023-08-07,2023-08-08,Google Ads
5111,111,Campaign 111,2023-08-09,2023-08-10,Instagram
5112,112,Campaign 112,2023-08-11,2023-08-12,Facebook Ads
5113,113,Campaign 113,2023-08-13,2023-08-14,Facebook Ads
5114,114,Campaign 114,2023-08-15,2023-08-16,Instagram
5115,115,Campaign 115,2023-08-17,2023-08-18,SMS
5116,116,Campaign 116,2023-08-19,2023-08-20,Social Media
5117,117,Campaign 117,2023-08-21,2023-08-22,Google Ads
5118,118,Campaign 118,2023-08-23,2023-08-24,Facebook Ads
5119,119,Campaign 119,2023-08-25,2023-08-26,Google Ads
5120,120,Campaign 120,2023-08-27,2023-08-28,Google Ads
5121,121,Campaign 121,2023-08-29,2023-08-30,Facebook Ads
5122,122,Campaign 122,2023-08-31,2023-09-01,Social Media
5123,123,Campaign 123,2023-09-02,2023-09-03,Social Media
5124,124,Campaign 124,2023-09-04,2023-09-05,Facebook Ads
5125,125,Campaign 125,2023-09-06,2023-09-07,Instagram
5126,126,Campaign 126,2023-09-08,2023-09-09,SMS
5127,127,Campaign 127,2023-09-10,2023-09-11,SMS
5128,128,Campaign 128,2023-09-12,2023-09-13,Instagram
5129,129,Campaign 129,2023-09-14,2023-09-15,Google Ads
5130,130,Campaign 130,2023-09-16,2023-09-17,SMS
5131,131,Campaign 131,2023-09-18,2023-09-19,Instagram
5132,132,Campaign 132,2023-09-20,2023-09-21,Google Ads
5133,133,Campaign 133,2023-09-22,2023-09-23,SMS
5134,134,Campaign 134,2023-09-24,2023-09-25,SMS
5135,135,Campaign 135,2023-09-26,2023-09-27,Instagram
5136,136,Campaign 136,2023-09-28,2023-09-29,SMS
5137,137,Campaign 137,2023-09-30,2023-10-01,Social Media
5138,138,Campaign 138,2023-10-02,2023-10-03,Social Media
5139,139,Campaign 139,2023-10-04,2023-10-05,Social Media
5140,140,Campaign 140,2023-10-06,2023-10-07,Instagram
5141,141,Campaign 141,2023-10-08,2023-10-09,SMS
5142,142,Campaign 142,2023-10-10,2023-10-11,Google Ads
5143,143,Campaign 143,2023-10-12,2023-10-13,SMS
5144,144,Campaign 144,2023-10-14,2023-10-15,Google Ads
5145,145,Campaign 145,2023-10-16,2023-10-17,SMS
5146,146,Campaign 146,2023-10-18,2023-10-19,Social Media
5147,147,Campaign 147,2023-10-20,2023-10-21,SMS
5148,148,Campaign 148,2023-10-22,2023-10-23,SMS
5149,149,Campaign 149,2023-10-24,2023-10-25,Social Media
5150,150,Campaign 150,2023-10-26,2023-10-27,Instagram
5151,151,Campaign 151,2023-10-28,2023-10-29,Instagram
5152,152,Campaign 152,2023-10-30,2023-10-31,SMS
5153,153,Campaign 153,2023-11-01,2023-11-02,SMS
5154,154,Campaign 154,2023-11-03,2023-11-04,Google Ads
5155,155,Campaign 155,2023-11-05,2023-11-06,SMS
5156,156,Campaign 156,2023-11-07,2023-11-08,Email
5157,157,Campaign 157,2023-11-09,2023-11-10,Google Ads
5158,158,Campaign 158,2023-11-11,2023-11-12,Instagram
5159,159,Campaign 159,2023-11-13,2023-11-14,Facebook Ads
5160,160,Campaign 160,2023-11-15,2023-11-16,Instagram
5161,161,Campaign 161,2023-11-17,2023-11-18,Instagram
5162,162,Campaign 162,2023-11-19,2023-11-20,SMS
5163,163,Campaign 163,2023-11-21,2023-11-22,SMS
5164,164,Campaign 164,2023-11-23,2023-11-24,Facebook Ads
5165,165,Campaign 165,2023-11-25,2023-11-26,SMS
5166,166,Campaign 166,2023-11-27,2023-11-28,SMS
5167,167,Campaign 167,2023-11-29,2023-11-30,Instagram
5168,168,Campaign 168,2023-12-01,2023-12-02,Google Ads
5169,169,Campaign 169,2023-12-03,2023-12-04,Facebook Ads
5170,170,Campaign 170,2023-12-05,2023-12-06,Email
5171,171,Campaign 171,2023-12-07,2023-12-08,Instagram
5172,172,Campaign 172,2023-12-09,2023-12-10,Email
5173,173,Campaign 173,2023-12-11,2023-12-12,Email
5174,174,Campaign 174,2023-12-13,2023-12-14,Facebook Ads
5175,175,Campaign 175,2023-12-15,2023-12-16,Social Media
5176,176,Campaign 176,2023-12-17,2023-12-18,Email
5177,177,Campaign 177,2023-12-19,2023-12-20,SMS
5178,178,Campaign 178,2023-12-21,2023-12-22,Email
5179,179,Campaign 179,2023-12-23,2023-12-24,Social Media
5180,180,Campaign 180,2023-12-25,2023-12-26,Google Ads
5181,181,Campaign 181,2023-12-27,2023-12-28,Social Media
5182,182,Campaign 182,2023-12-29,2023-12-30,Google Ads
5183,183,Campaign 183,2023-12-31,2024-01-01,SMS
5184,184,Campaign 184,2024-01-02,2024-01-03,Google Ads
5185,185,Campaign 185,2024-01-04,2024-01-05,Social Media
5186,186,Campaign 186,2024-01-06,2024-01-07,Email
5187,187,Campaign 187,2024-01-08,2024-01-09,SMS
5188,188,Campaign 188,2024-01-10,2024-01-11,Google Ads
5189,189,Campaign 189,2024-01-12,2024-01-13,Social Media
5190,190,Campaign 190,2024-01-14,2024-01-15,Instagram
5191,191,Campaign 191,2024-01-16,2024-01-17,Email
5192,192,Campaign 192,2024-01-18,2024-01-19,Google Ads
5193,193,Campaign 193,2024-01-20,2024-01-21,Facebook Ads
5194,194,Campaign 194,2024-01-22,2024-01-23,Email
5195,195,Campaign 195,2024-01-24,2024-01-25,Instagram
5196,196,Campaign 196,2024-01-26,2024-01-27,SMS
5197,197,Campaign 197,2024-01-28,2024-01-29,SMS
5198,198,Campaign 198,2024-01-30,2024-01-31,Instagram
5199,199,Campaign 199,2024-02-01,2024-02-02,Social Media
5200,200,Campaign 200,2024-02-03,2024-02-04,SMS
5201,201,Campaign 201,2024-02-05,2024-02-06,SMS
5202,202,Campaign 202,2024-02-07,2024-02-08,Instagram
5203,203,Campaign 203,2024-02-09,2024-02-10,Facebook Ads
5204,204,Campaign 204,2024-02-11,2024-02-12,Social Media
5205,205,Campaign 205,2024-02-13,2024-02-14,Instagram
5206,206,Campaign 206,2024-02-15,2024-02-16,SMS
5207,207,Campaign 207,2024-02-17,2024-02-18,Google Ads
5208,208,Campaign 208,2024-02-19,2024-02-20,SMS
5209,209,Campaign 209,2024-02-21,2024-02-22,SMS
5210,210,Campaign 210,2024-02-23,2024-02-24,Email
5211,211,Campaign 211,2024-02-25,2024-02-26,Facebook Ads
5212,212,Campaign 212,2024-02-27,2024-02-28,Facebook Ads
5213,213,Campaign 213,2024-02-29,2024-03-01,Facebook Ads
5214,214,Campaign 214,2024-03-02,2024-03-03,SMS
5215,215,Campaign 215,2024-03-04,2024-03-05,Google Ads
5216,216,Campaign 216,2024-03-06,2024-03-07,Instagram
5217,217,Campaign 217,2024-03-08,2024-03-09,Email
5218,218,Campaign 218,2024-03-10,2024-03-11,Email
5219,219,Campaign 219,2024-03-12,2024-03-13,SMS
5220,220,Campaign 220,2024-03-14,2024-03-15,Google Ads
5221,221,Campaign 221,2024-03-16,2024-03-17,Social Media
5222,222,Campaign 222,2024-03-18,2024-03-19,Instagram
5223,223,Campaign 223,2024-03-20,2024-03-21,Facebook Ads
5224,224,Campaign 224,2024-03-22,2024-03-23,Social Media
5225,225,Campaign 225,2024-03-24,2024-03-25,SMS
5226,226,Campaign 226,2024-03-26,2024-03-27,SMS
5227,227,Campaign 227,2024-03-28,2024-03-29,SMS
5228,228,Campaign 228,2024-03-30,2024-03-31,SMS
5229,229,Campaign 229,2024-04-01,2024-04-02,Google Ads
5230,230,Campaign 230,2024-04-03,2024-04-04,Instagram
5231,231,Campaign 231,2024-04-05,2024-04-06,Instagram
5232,232,Campaign 232,2024-04-07,2024-04-08,SMS
5233,233,Campaign 233,2024-04-09,2024-04-10,Instagram
5234,234,Campaign 234,2024-04-11,2024-04-12,Social Media
5235,235,Campaign 235,2024-04-13,2024-04-14,SMS
5236,236,Campaign 236,2024-04-15,2024-04-16,Social Media
5237,237,Campaign 237,2024-04-17,2024-04-18,Google Ads
5238,238,Campaign 238,2024-04-19,2024-04-20,Facebook Ads
5239,239,Campaign 239,2024-04-21,2024-04-22,Social Media
5240,240,Campaign 240,2024-04-23,2024-04-24,SMS
5241,241,Campaign 241,2024-04-25,2024-04-26,Email
5242,242,Campaign 242,2024-04-27,2024-04-28,Social Media
5243,243,Campaign 243,2024-04-29,2024-04-30,Social Media
5244,244,Campaign 244,2024-05-01,2024-05-02,SMS
5245,245,Campaign 245,2024-05-03,2024-05-04,Instagram
5246,246,Campaign 246,2024-05-05,2024-05-06,Email
5247,247,Campaign 247,2024-05-07,2024-05-08,Facebook Ads
5248,248,Campaign 248,2024-05-09,2024-05-10,Email
5249,249,Campaign 249,2024-05-11,2024-05-12,Facebook Ads
5250,250,Campaign 250,2024-05-13,2024-05-14,Google Ads
5251,251,Campaign 251,2024-05-15,2024-05-16,Instagram
5252,252,Campaign 252,2024-05-17,2024-05-18,Google Ads
5253,253,Campaign 253,2024-05-19,2024-05-20,Social Media
5254,254,Campaign 254,2024-05-21,2024-05-22,Social Media
5255,255,Campaign 255,2024-05-23,2024-05-24,Instagram
5256,256,Campaign 256,2024-05-25,2024-05-26,Google Ads
5257,257,Campaign 257,2024-05-27,2024-05-28,Email
5258,258,Campaign 258,2024-05-29,2024-05-30,Google Ads
5259,259,Campaign 259,2024-05-31,2024-06-01,Facebook Ads
5260,260,Campaign 260,2024-06-02,2024-06-03,SMS
5261,261,Campaign 261,2024-06-04,2024-06-05,Social Media
5262,262,Campaign 262,2024-06-06,2024-06-07,Email
5263,263,Campaign 263,2024-06-08,2024-06-09,Social Media
5264,264,Campaign 264,2024-06-10,2024-06-11,Google Ads
5265,265,Campaign 265,2024-06-12,2024-06-13,Instagram
5266,266,Campaign 266,2024-06-14,2024-06-15,Email
5267,267,Campaign 267,2024-06-16,2024-06-17,SMS
5268,268,Campaign 268,2024-06-18,2024-06-19,Instagram
5269,269,Campaign 269,2024-06-20,2024-06-21,SMS
5270,270,Campaign 270,2024-06-22,2024-06-23,Google Ads
5271,271,Campaign 271,2024-06-24,2024-06-25,Facebook Ads
5272,272,Campaign 272,2024-06-26,2024-06-27,Instagram
5273,273,Campaign 273,2024-06-28,2024-06-29,Instagram
5274,274,Campaign 274,2024-06-30,2024-07-01,Google Ads
5275,275,Campaign 275,2024-07-02,2024-07-03,Email
5276,276,Campaign 276,2024-07-04,2024-07-05,SMS
5277,277,Campaign 277,2024-07-06,2024-07-07,Google Ads
5278,278,Campaign 278,2024-07-08,2024-07-09,Instagram
5279,279,Campaign 279,2024-07-10,2024-07-11,Social Media
5280,280,Campaign 280,2024-07-12,2024-07-13,Social Media
5281,281,Campaign 281,2024-07-14,2024-07-15,Instagram
5282,282,Campaign 282,2024-07-16,2024-07-17,Email
5283,283,Campaign 283,2024-07-18,2024-07-19,Instagram
5284,284,Campaign 284,2024-07-20,2024-07-21,Social Media
5285,285,Campaign 285,2024-07-22,2024-07-23,Facebook Ads
5286,286,Campaign 286,2024-07-24,2024-07-25,Instagram
5287,287,Campaign 287,2024-07-26,2024-07-27,Instagram
5288,288,Campaign 288,2024-07-28,2024-07-29,Facebook Ads
5289,289,Campaign 289,2024-07-30,2024-07-31,Email
5290,290,Campaign 290,2024-08-01,2024-08-02,Google Ads
5291,291,Campaign 291,2024-08-03,2024-08-04,Social Media
5292,292,Campaign 292,2024-08-05,2024-08-06,Social Media
5293,293,Campaign 293,2024-08-07,2024-08-08,SMS
5294,294,Campaign 294,2024-08-09,2024-08-10,Google Ads
5295,295,Campaign 295,2024-08-11,2024-08-12,Google Ads
5296,296,Campaign 296,2024-08-13,2024-08-14,Google Ads
5297,297,Campaign 297,2024-08-15,2024-08-16,Google Ads
5298,298,Campaign 298,2024-08-17,2024-08-18,Social Media
5299,299,Campaign 299,2024-08-19,2024-08-20,Instagram
5300,300,Campaign 300,2024-08-21,2024-08-22,Instagram
5301,301,Campaign 301,2024-08-23,2024-08-24,Facebook Ads
5302,302,Campaign 302,2024-08-25,2024-08-26,Instagram
5303,303,Campaign 303,2024-08-27,2024-08-28,SMS
5304,304,Campaign 304,2024-08-29,2024-08-30,Email
5305,305,Campaign 305,2024-08-31,2024-09-01,Email
5306,306,Campaign 306,2024-09-02,2024-09-03,SMS
5307,307,Campaign 307,2024-09-04,2024-09-05,Google Ads
5308,308,Campaign 308,2024-09-06,2024-09-07,Facebook Ads
5309,309,Campaign 309,2024-09-08,2024-09-09,Social Media
5310,310,Campaign 310,2024-09-10,2024-09-11,SMS
5311,311,Campaign 311,2024-09-12,2024-09-13,Instagram
5312,312,Campaign 312,2024-09-14,2024-09-15,Instagram
5313,313,Campaign 313,2024-09-16,2024-09-17,Social Media
5314,314,Campaign 314,2024-09-18,2024-09-19,Email
5315,315,Campaign 315,2024-09-20,2024-09-21,SMS
5316,316,Campaign 316,2024-09-22,2024-09-23,Google Ads
5317,785,Campaign 785,2027-04-18,2027-04-19,Email
5318,786,Campaign 786,2027-04-20,2027-04-21,SMS
5319,787,Campaign 787,2027-04-22,2027-04-23,SMS
5320,788,Campaign 788,2027-04-24,2027-04-25,Email
5321,789,Campaign 789,2027-04-26,2027-04-27,Instagram
5322,790,Campaign 790,2027-04-28,2027-04-29,Instagram
5323,791,Campaign 791,2027-04-30,2027-05-01,Email
5324,792,Campaign 792,2027-05-02,2027-05-03,Instagram
5325,793,Campaign 793,2027-05-04,2027-05-05,Email
5326,794,Campaign 794,2027-05-06,2027-05-07,Facebook Ads
5327,795,Campaign 795,2027-05-08,2027-05-09,SMS
5328,796,Campaign 796,2027-05-10,2027-05-11,Social Media
5329,797,Campaign 797,2027-05-12,2027-05-13,SMS
5330,798,Campaign 798,2027-05-14,2027-05-15,Google Ads
5331,799,Campaign 799,2027-05-16,2027-05-17,Facebook Ads
5332,800,Campaign 800,2027-05-18,2027-05-19,Google Ads
5333,801,Campaign 801,2027-05-20,2027-05-21,Email
5334,802,Campaign 802,2027-05-22,2027-05-23,Social Media
5335,803,Campaign 803,2027-05-24,2027-05-25,Facebook Ads
5336,804,Campaign 804,2027-05-26,2027-05-27,SMS
5337,805,Campaign 805,2027-05-28,2027-05-29,Instagram
5338,806,Campaign 806,2027-05-30,2027-05-31,Google Ads
5339,807,Campaign 807,2027-06-01,2027-06-02,Google Ads
5340,808,Campaign 808,2027-06-03,2027-06-04,Instagram
5341,809,Campaign 809,2027-06-05,2027-06-06,Facebook Ads
5342,810,Campaign 810,2027-06-07,2027-06-08,Instagram
5343,811,Campaign 811,2027-06-09,2027-06-10,Google Ads
5344,812,Campaign 812,2027-06-11,2027-06-12,Instagram
5345,813,Campaign 813,2027-06-13,2027-06-14,Google Ads
5346,814,Campaign 814,2027-06-15,2027-06-16,SMS
5347,815,Campaign 815,2027-06-17,2027-06-18,Facebook Ads
5348,816,Campaign 816,2027-06-19,2027-06-20,Social Media
5349,817,Campaign 817,2027-06-21,2027-06-22,Facebook Ads
5350,818,Campaign 818,2027-06-23,2027-06-24,Instagram
5351,819,Campaign 819,2027-06-25,2027-06-26,Instagram
5352,820,Campaign 820,2027-06-27,2027-06-28,Facebook Ads
5353,821,Campaign 821,2027-06-29,2027-06-30,Social Media
5354,822,Campaign 822,2027-07-01,2027-07-02,Google Ads
5355,823,Campaign 823,2027-07-03,2027-07-04,Instagram
5356,824,Campaign 824,2027-07-05,2027-07-06,Instagram
5357,825,Campaign 825,2027-07-07,2027-07-08,Facebook Ads
5358,826,Campaign 826,2027-07-09,2027-07-10,Google Ads
5359,827,Campaign 827,2027-07-11,2027-07-12,Google Ads
5360,828,Campaign 828,2027-07-13,2027-07-14,Instagram
5361,829,Campaign 829,2027-07-15,2027-07-16,Google Ads
5362,830,Campaign 830,2027-07-17,2027-07-18,SMS
5363,831,Campaign 831,2027-07-19,2027-07-20,Facebook Ads
5364,832,Campaign 832,2027-07-21,2027-07-22,SMS
5365,833,Campaign 833,2027-07-23,2027-07-24,Social Media
5366,834,Campaign 834,2027-07-25,2027-07-26,SMS
5367,835,Campaign 835,2027-07-27,2027-07-28,Email
5368,836,Campaign 836,2027-07-29,2027-07-30,SMS
5369,837,Campaign 837,2027-07-31,2027-08-01,Social Media
5370,838,Campaign 838,2027-08-02,2027-08-03,Facebook Ads
5371,839,Campaign 839,2027-08-04,2027-08-05,SMS
5372,840,Campaign 840,2027-08-06,2027-08-07,Social Media
5373,841,Campaign 841,2027-08-08,2027-08-09,Email
5374,842,Campaign 842,2027-08-10,2027-08-11,Social Media
5375,843,Campaign 843,2027-08-12,2027-08-13,Instagram
5376,844,Campaign 844,2027-08-14,2027-08-15,Facebook Ads
5377,845,Campaign 845,2027-08-16,2027-08-17,Google Ads
5378,846,Campaign 846,2027-08-18,2027-08-19,Instagram
5379,847,Campaign 847,2027-08-20,2027-08-21,Instagram
5380,848,Campaign 848,2027-08-22,2027-08-23,SMS
5381,849,Campaign 849,2027-08-24,2027-08-25,SMS
5382,850,Campaign 850,2027-08-26,2027-08-27,SMS
5383,851,Campaign 851,2027-08-28,2027-08-29,Email
5384,852,Campaign 852,2027-08-30,2027-08-31,Social Media
5385,853,Campaign 853,2027-09-01,2027-09-02,Facebook Ads
5386,854,Campaign 854,2027-09-03,2027-09-04,SMS
5387,855,Campaign 855,2027-09-05,2027-09-06,Email
5388,856,Campaign 856,2027-09-07,2027-09-08,Email
5389,857,Campaign 857,2027-09-09,2027-09-10,Social Media
5390,858,Campaign 858,2027-09-11,2027-09-12,Facebook Ads
5391,859,Campaign 859,2027-09-13,2027-09-14,Instagram
5392,860,Campaign 860,2027-09-15,2027-09-16,Facebook Ads
5393,861,Campaign 861,2027-09-17,2027-09-18,Email
5394,862,Campaign 862,2027-09-19,2027-09-20,Email
5395,863,Campaign 863,2027-09-21,2027-09-22,Google Ads
5396,864,Campaign 864,2027-09-23,2027-09-24,Social Media
5397,865,Campaign 865,2027-09-25,2027-09-26,Google Ads
5398,866,Campaign 866,2027-09-27,2027-09-28,Email
5399,867,Campaign 867,2027-09-29,2027-09-30,Instagram
5400,868,Campaign 868,2027-10-01,2027-10-02,Email
5401,869,Campaign 869,2027-10-03,2027-10-04,SMS
5402,870,Campaign 870,2027-10-05,2027-10-06,Facebook Ads
5403,871,Campaign 871,2027-10-07,2027-10-08,Facebook Ads
5404,872,Campaign 872,2027-10-09,2027-10-10,Instagram
5405,873,Campaign 873,2027-10-11,2027-10-12,SMS
5406,874,Campaign 874,2027-10-13,2027-10-14,Instagram
5407,875,Campaign 875,2027-10-15,2027-10-16,Google Ads
5408,876,Campaign 876,2027-10-17,2027-10-18,SMS
5409,877,Campaign 877,2027-10-19,2027-10-20,Instagram
5410,878,Campaign 878,2027-10-21,2027-10-22,Email
5411,879,Campaign 879,2027-10-23,2027-10-24,Social Media
5412,880,Campaign 880,2027-10-25,2027-10-26,SMS
5413,881,Campaign 881,2027-10-27,2027-10-28,Facebook Ads
5414,882,Campaign 882,2027-10-29,2027-10-30,Facebook Ads
5415,883,Campaign 883,2027-10-31,2027-11-01,Email
5416,884,Campaign 884,2027-11-02,2027-11-03,Social Media
5417,885,Campaign 885,2027-11-04,2027-11-05,SMS
5418,886,Campaign 886,2027-11-06,2027-11-07,Instagram
5419,887,Campaign 887,2027-11-08,2027-11-09,Google Ads
5420,888,Campaign 888,2027-11-10,2027-11-11,Social Media
5421,889,Campaign 889,2027-11-12,2027-11-13,Email
5422,890,Campaign 890,2027-11-14,2027-11-15,Instagram
5423,891,Campaign 891,2027-11-16,2027-11-17,Instagram
5424,892,Campaign 892,2027-11-18,2027-11-19,Instagram
5425,893,Campaign 893,2027-11-20,2027-11-21,SMS
5426,894,Campaign 894,2027-11-22,2027-11-23,Social Media
5427,895,Campaign 895,2027-11-24,2027-11-25,Instagram
5428,896,Campaign 896,2027-11-26,2027-11-27,Social Media
5429,897,Campaign 897,2027-11-28,2027-11-29,SMS
5430,898,Campaign 898,2027-11-30,2027-12-01,Email
5431,899,Campaign 899,2027-12-02,2027-12-03,Google Ads
5432,900,Campaign 900,2027-12-04,2027-12-05,Social Media
5433,901,Campaign 901,2027-12-06,2027-12-07,SMS
5434,902,Campaign 902,2027-12-08,2027-12-09,Email
5435,903,Campaign 903,2027-12-10,2027-12-11,Social Media
5436,904,Campaign 904,2027-12-12,2027-12-13,Email
5437,905,Campaign 905,2027-12-14,2027-12-15,Google Ads
5438,906,Campaign 906,2027-12-16,2027-12-17,Facebook Ads
5439,907,Campaign 907,2027-12-18,2027-12-19,Google Ads
5440,908,Campaign 908,2027-12-20,2027-12-21,SMS
5441,909,Campaign 909,2027-12-22,2027-12-23,Facebook Ads
5442,910,Campaign 910,2027-12-24,2027-12-25,Facebook Ads
5443,911,Campaign 911,2027-12-26,2027-12-27,Instagram
5444,912,Campaign 912,2027-12-28,2027-12-29,Social Media
5445,913,Campaign 913,2027-12-30,2027-12-31,Instagram
5446,914,Campaign 914,2028-01-01,2028-01-02,Email
5447,915,Campaign 915,2028-01-03,2028-01-04,SMS
5448,916,Campaign 916,2028-01-05,2028-01-06,SMS
